Time,Washers Used,,Time,Dryers Used
0:0.0,0.08333333333333333,,0:0.0,4.766666666666664
1:0.0,0.0,,1:0.0,0.8500000000000005
2:0.0,0.0,,2:0.0,0.0
3:0.0,0.0,,3:0.0,0.0
4:0.0,0.0,,4:0.0,0.0
5:0.0,0.0,,5:0.0,0.0
6:0.0,0.0,,6:0.0,0.0
7:0.0,1.2000000000000004,,7:0.0,0.4333333333333333
8:0.0,0.9333333333333339,,8:0.0,0.9833333333333346
9:0.0,1.4000000000000001,,9:0.0,1.500000000000001
10:0.0,2.716666666666664,,10:0.0,1.933333333333335
11:0.0,3.3000000000000016,,11:0.0,4.183333333333338
12:0.0,3.7333333333333356,,12:0.0,4.233333333333333
13:0.0,3.133333333333334,,13:0.0,6.199999999999991
14:0.0,2.4666666666666672,,14:0.0,3.2166666666666686
15:0.0,1.3833333333333335,,15:0.0,4.316666666666666
16:0.0,2.4166666666666665,,16:0.0,6.683333333333335
17:0.0,1.2333333333333327,,17:0.0,4.600000000000003
18:0.0,0.21666666666666665,,18:0.0,2.8166666666666678
19:0.0,3.000000000000001,,19:0.0,1.0333333333333345
20:0.0,2.550000000000002,,20:0.0,1.1666666666666672
21:0.0,2.333333333333333,,21:0.0,3.95
22:0.0,3.833333333333331,,22:0.0,5.033333333333333
23:0.0,3.3666666666666636,,23:0.0,7.483333333333335
